Covariate,SMD,|SMD|,Variance Ratio,Balance OK (|SMD|<0.1),Variance OK (0.5-2.0)
recency,-0.24027073383451414,0.24027073383451414,1.0157222101463668,False,True
frequency,0.9293526742610938,0.9293526742610938,1.3966410555362878,False,True
monetary,0.41268171548782806,0.41268171548782806,2.3491268930752036,False,False
tenure_months,-0.0007760617088266779,0.0007760617088266779,1.0146968247475912,True,True
channel_app,0.015958065930996364,0.015958065930996364,1.0061993117506824,True,True
channel_store,-0.024996258882641405,0.024996258882641405,0.9704710521209856,True,True
channel_web,0.006041114369886575,0.006041114369886575,1.003747500697975,True,True
age_group_18-25,0.0010227390834874296,0.0010227390834874296,1.0012164230777214,True,True
age_group_26-35,0.01157342187383142,0.01157342187383142,1.0074534092935663,True,True
age_group_36-50,-0.002319102461452486,0.002319102461452486,0.997443502862906,True,True
age_group_51+,-0.013827734011078919,0.013827734011078919,0.9732217728761333,True,True
